Ratio,M,M_std,B,B_std,W,W_std
0.0,1.0,0.0,0.6666666666666667,0.0,0.0,0.0
0.010101010101010102,0.9996153846153847,0.0013323467750529837,0.6666643080040366,0.0,0.3076923076923077,1.065877420042386
0.020202020202020204,0.9995833333333334,0.0013819269959814177,0.6666641288686017,0.0,0.3333333333333333,1.1055415967851332
0.030303030303030304,1.0,0.0,0.6666666666666667,0.0,0.0,0.0
0.04040404040404041,0.999857142857143,0.0008329931278350435,0.6666657455917289,0.0,0.11428571428571428,0.6663945022680344
0.05050505050505051,0.9996428571428572,0.001287696884094283,0.6666644636847858,0.0,0.2857142857142857,1.0301575072754254
0.06060606060606061,1.0,0.0,0.6666666666666667,0.0,0.0,0.0
0.07070707070707072,1.0,0.0,0.6666666666666667,0.0,0.0,0.0
0.08080808080808081,0.99925,0.0017853571071357146,0.6666624252070319,0.0,0.6,1.42828568570857
0.09090909090909091,0.9998076923076924,0.0009615384615384625,0.6666654391393423,0.0,0.15384615384615385,0.7692307692307692
0.10101010101010102,1.0,0.0,0.6666666666666667,0.0,0.0,0.0
0.11111111111111112,1.0,0.0,0.6666666666666667,0.0,0.0,0.0
0.12121212121212122,1.0,0.0,0.6666666666666667,0.0,0.0,0.0
0.13131313131313133,0.998,0.00244948974278318,0.6666586427132606,0.0,1.6,1.9595917942265428
0.14141414141414144,0.9950000000000001,0.01669045920792559,0.6663121447812846,0.0,1.5714285714285714,4.6707950640776605
0.15151515151515152,0.9875,0.012893796958227639,0.6664433543090439,0.0,6.4,3.97994974842648
0.16161616161616163,0.9945833333333333,0.005936586186989592,0.6666194581615046,0.0,3.3333333333333335,3.0912061651652345
0.17171717171717174,0.9954545454545454,0.003962635403218798,0.666645644600475,0.0,3.6363636363636362,3.170108322575035
0.18181818181818182,0.9931818181818183,0.007767276132106853,0.6665855674257104,0.0,4.7272727272727275,5.275861137653421
0.19191919191919193,0.9954999999999998,0.004153311931459042,0.6666435783188867,0.0,3.4,2.8354893757515645
0.20202020202020204,0.9872727272727272,0.013205308223939966,0.6664318462075589,0.0,6.363636363636363,5.244438218856712
0.21212121212121213,0.9686363636363636,0.050770916383429836,0.6634756836860604,0.0,10.909090909090908,7.925270806437588
0.22222222222222224,0.9795,0.01368393218340402,0.6664086884225858,0.0,10.2,5.758472019555187
0.23232323232323235,0.9822727272727273,0.012128785512842131,0.6664658270541741,0.0,10.363636363636363,4.959338798903947
0.24242424242424243,0.9564999999999999,0.03271467560591116,0.6651612160279823,0.0,20.2,8.784076502399099
0.25252525252525254,0.961,0.022999999999999996,0.6659178655850699,0.0,18.8,6.462197768561405
0.26262626262626265,0.9445,0.029702693480558272,0.6653938936814799,0.0,24.2,5.249761899362675
0.27272727272727276,0.905,0.058949130612757965,0.6612333272358287,0.0,32.6,10.316976301223145
0.2828282828282829,0.8699999999999999,0.09500000000000001,0.6525899898521395,0.0,33.2,13.862178760930766
0.29292929292929293,0.8644999999999999,0.07373771084051904,0.6574858991126097,0.0,41.2,7.386474125047755
0.30303030303030304,0.791,0.14939544839117422,0.6299699961181602,0.0,61.2,21.802752119858628
0.31313131313131315,0.7430000000000001,0.14163685960935452,0.6252683739997531,0.0,67.2,25.253910588263356
0.32323232323232326,0.7115,0.14417090552535208,0.6204883866842608,0.0,74.2,15.13803157613301
0.33333333333333337,0.7529999999999999,0.099,0.6449400761987409,0.0,71.4,12.232742946698423
0.3434343434343435,0.5250000000000001,0.11554220008291342,0.5837843634437633,0.0,115.6,24.556872765073326
0.3535353535353536,0.4694999999999999,0.20703200235712352,0.5253521296104323,0.0,117.6,25.765092664300663
0.36363636363636365,0.542,0.1807788704467422,0.5660601369810465,0.0,108.0,15.466091943344964
0.37373737373737376,0.5225,0.1668869377752495,0.5943642164591698,0.0,119.2,14.316424134538625
0.38383838383838387,0.4885,0.08885521931771932,0.6229258638699121,0.0,119.8,8.459314393022641
0.393939393939394,0.4215,0.12684734920367866,0.5765111915957751,0.0,135.2,4.214261501141095
0.4040404040404041,0.39349999999999996,0.09995123811139109,0.567136437353034,0.0,138.8,16.400000000000002
0.4141414141414142,0.346,0.16399390232566577,0.4420108791498264,0.0,147.0,16.595180023127195
0.42424242424242425,0.3155,0.129121067219877,0.5011542200843184,0.0,155.4,15.544774041458433
0.43434343434343436,0.23349999999999996,0.12565926149711368,0.39013281817283985,0.0,174.2,14.572576985557497
0.4444444444444445,0.242,0.14377412840980813,0.33219447317808826,0.0,179.4,16.420718620084813
0.4545454545454546,0.2065,0.11273974454468132,0.3614882190259242,0.0,195.2,12.270289320142375
0.4646464646464647,0.246,0.12615070352558483,0.41695622049114667,0.0,194.0,13.827508813954884
0.4747474747474748,0.18,0.08686195945291587,0.5115168918660078,0.0,200.6,13.536617007214174
0.48484848484848486,0.21750000000000003,0.085154271766013,0.46816123626304185,0.0,206.2,20.638798414636447
0.494949494949495,0.123,0.06466065264130884,0.454989427676736,0.0,229.0,16.57105910918189
0.5050505050505051,0.1445,0.07957543590832537,0.388619246873696,0.0,229.4,13.417898494175606
0.5151515151515152,0.11699999999999999,0.07416872656315464,0.40494762566956366,0.0,246.0,15.17893276880822
0.5252525252525253,0.077,0.05758472019555188,0.06927847901452389,0.0,245.4,17.844887222955485
0.5353535353535354,0.1085,0.06931991055966533,0.30640091735544617,0.0,258.2,11.711532777565882
0.5454545454545455,0.11700000000000002,0.05040833264451424,0.39951403291182797,0.0,278.8,18.808508712813996
0.5555555555555556,0.08349999999999999,0.05427015754537663,0.21185529716878815,0.0,279.8,15.031965939290844
