T,ratio,E,E_std,M,M_std,C,C_std,X,X_std
0.1,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.1292929292929293,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.15858585858585858,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.18787878787878787,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.21717171717171718,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.24646464646464647,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.27575757575757576,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.305050505050505,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.33434343434343433,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.36363636363636365,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.3929292929292929,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.42222222222222217,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.45151515151515154,0.0,-1.9999997999999999,1.9899748742262778e-06,0.99999995,4.974937185565694e-07,7.840446826719547e-06,7.801146093888394e-05,2.2125503355705007e-07,2.2014597878586906e-06
0.4808080808080808,0.0,-1.9999993999999999,3.4117444218687475e-06,0.9999998499999999,8.529361054671873e-07,2.0742600805028086e-05,0.00011794742098523523,6.233256302521188e-07,3.544379570010926e-06
0.51010101010101,0.0,-1.9999989999999996,4.358898943569233e-06,0.99999975,1.0897247358923068e-06,3.0714475835702645e-05,0.00013388129627164982,9.792178217822047e-07,4.268311528862655e-06
0.5393939393939393,0.0,-1.9999961999999991,7.846018098424619e-06,0.9999990499999999,1.961504524606152e-06,0.0001043823204140902,0.00021552251976819544,3.5189494382023556e-06,7.265721310367353e-06
0.5686868686868687,0.0,-1.9999961999999996,8.80681554254278e-06,0.9999990499999999,2.201703885635695e-06,9.388606557739128e-05,0.00021755330204090297,3.3369857904086145e-06,7.732481631883288e-06
0.597979797979798,0.0,-1.999989199999998,1.2781236246952272e-05,0.9999972999999993,3.1953090617380684e-06,0.00024131114408327325,0.000285458411803304,9.018699324324554e-06,1.066864771386111e-05
0.6272727272727272,0.0,-1.9999747999999977,1.9873600579612027e-05,0.9999936499999985,5.042568789800975e-06,0.0005174154169292146,0.0004125894408841433,2.0842130434782883e-05,1.7659723104639322e-05
0.6565656565656565,0.0,-1.9999648999999975,2.8088965805073665e-05,0.9999911999999991,7.039886362709225e-06,0.0006597212003786959,0.000527686012658222,2.7338012307692505e-05,2.2085829787639875e-05
0.6858585858585858,0.0,-1.9999293999999994,3.733148804966907e-05,0.999982199999999,9.547774609823184e-06,0.0012105577787658724,0.0006523227070471686,5.341742562592081e-05,3.095966835985337e-05
0.7151515151515151,0.0,-1.9998923999999996,4.872617366469853e-05,0.999973,1.2349089035220997e-05,0.0016815586555587398,0.0007686080366112963,7.613407627118696e-05,3.641947071523986e-05
0.7444444444444444,0.0,-1.9998140999999998,6.29141478524681e-05,0.9999533000000004,1.5893709447438484e-05,0.0027040777277790168,0.0009336102459480285,0.0001279163283582092,4.5605957266040126e-05
0.7737373737373736,0.0,-1.9997299999999996,7.84474346298161e-05,0.9999322000000004,1.9548913013243574e-05,0.0036113052611988846,0.0010110080272293924,0.0001773320052219328,4.9378086961288296e-05
0.803030303030303,0.0,-1.9996070999999993,9.594055451164998e-05,0.9999008500000005,2.415631387441023e-05,0.004930964086863656,0.001206430568325233,0.0002554502603773581,6.36626942839861e-05
0.8323232323232322,0.0,-1.9994683000000006,0.00010533807478779287,0.9998656499999994,2.6969009992929744e-05,0.0062689348312164,0.001310847109126554,0.0003383170012135916,7.566289028282711e-05
0.8616161616161615,0.0,-1.9992135000000002,0.00012396269600166922,0.9998011500000002,3.1889300713543665e-05,0.008598830352620745,0.0014925479841013305,0.0004819741301289577,9.242682077967289e-05
0.8909090909090909,0.0,-1.9989552000000008,0.00012778481912965138,0.9997355000000003,3.294313282003005e-05,0.010663755701790891,0.0014086875880891074,0.0006197958979591849,9.057354639472745e-05
0.9202020202020201,0.0,-1.9985815999999996,0.0001655156790155966,0.999640300000001,4.2607628424924905e-05,0.013727782357405072,0.0017643950947459311,0.0008286443446761823,0.00011562488950944293
0.9494949494949494,0.0,-1.9981742999999996,0.00019541880666918587,0.9995366500000011,5.0214813551349386e-05,0.016628259910864623,0.001948993830523976,0.0010401467648936175,0.00013191280230305256
0.9787878787878787,0.0,-1.997620999999999,0.00021934219840239366,0.9993935500000002,5.620184605504106e-05,0.02035195816005142,0.002071047439305662,0.0013340213219814254,0.0001518565336304791
1.0080808080808081,0.0,-1.9969911000000007,0.00025838302962851036,0.9992305000000008,6.772185762360844e-05,0.024250000881884053,0.00230895189268126,0.0016567257174348719,0.00018735201382022755
1.0373737373737373,0.0,-1.9962393,0.00028925509502857435,0.9990389500000005,7.470707797786486e-05,0.028469962277210506,0.0024469506679712736,0.0019942867507302823,0.00019483715736718821
1.0666666666666667,0.0,-1.9952542999999998,0.00031055194412528116,0.9987819000000009,8.243718821011544e-05,0.03468828128906255,0.0027657490862760038,0.002549226187500003,0.00028192760705729935
1.095959595959596,0.0,-1.9941302000000007,0.0003212039227655828,0.9984892000000016,8.348868186761116e-05,0.04075446862158032,0.002837472266671739,0.003105593684792631,0.0002597199402533872
1.1252525252525252,0.0,-1.9928394999999997,0.0004703432257405383,0.9981503000000015,0.0001238241091224847,0.04731632158740248,0.004011427692976766,0.0037484128276481193,0.00036227989172612173
1.1545454545454545,0.0,-1.9913902,0.0004383012206234522,0.9977667500000021,0.00011667770781079008,0.05372440090768182,0.003670460821014794,0.004437150811023625,0.0003553105689527665
1.183838383838384,0.0,-1.9895741999999998,0.0004856792768895917,0.9972852500000022,0.0001348339256269641,0.06304930875170371,0.004405781569420765,0.005407225333617767,0.00048053396479090955
1.213131313131313,0.0,-1.9877046000000005,0.0005901939003412426,0.9967874500000026,0.00016431295597110087,0.07089352741186411,0.005169633773019434,0.006340046965029143,0.0006710395976765971
1.2424242424242424,0.0,-1.9855398,0.00065100534560017,0.9962039500000031,0.00017928370673307985,0.08036517023486034,0.005185004909858118,0.0074715579292683075,0.0006377363775558118
1.2717171717171718,0.0,-1.9828765,0.0007751611122856796,0.9954822000000034,0.00021796137272446882,0.09107523431983612,0.006213002387859042,0.00884629904368548,0.0007942150123625763
1.301010101010101,0.0,-1.9802211999999997,0.0008004489740139419,0.9947578500000042,0.00022782696833326786,0.10167822682265326,0.005888686160508625,0.010252405642080764,0.0007527922717298057
1.3303030303030303,0.0,-1.9769818999999995,0.0007821901239468464,0.9938678500000048,0.00022003437799565637,0.11334949597376526,0.006986046172532633,0.01193895536446473,0.0008979289503170139
1.3595959595959597,0.0,-1.9735973000000007,0.0009039190837680068,0.9929246500000056,0.00025484432012489816,0.12546713442422544,0.006598562542588171,0.013829763590638951,0.0008955046343566067
1.3888888888888888,0.0,-1.9696718000000002,0.000992392442534705,0.9918343000000063,0.00029258675636449237,0.13988203725312007,0.008800101299890223,0.015983348112000032,0.0012987858658317177
1.4181818181818182,0.0,-1.9655055,0.0009873209964342987,0.9906525000000067,0.0002957063577265491,0.1510458805177514,0.007691457412030314,0.018105802987179495,0.0012747731311975351
1.4474747474747474,0.0,-1.960672200000001,0.0010106973632101849,0.9892791500000071,0.00030190648800567765,0.16782621419521618,0.007566287624324433,0.021105992455687398,0.001553579712996532
1.4767676767676767,0.0,-1.9556247999999998,0.001130850547154645,0.9878120000000078,0.0003414879207232579,0.1820813155601179,0.009560564925297473,0.02403182122571822,0.00184511592560947
1.506060606060606,0.0,-1.9499534000000005,0.001083626522377526,0.9861446500000087,0.000350357142784225,0.2006909929270595,0.011452274591417963,0.027904395301810894,0.002499897756075141
1.5353535353535352,0.0,-1.9434846,0.0013206766598982563,0.9842410500000099,0.00041137895850404805,0.2199396961595568,0.011138604302683581,0.03205190450723692,0.0024110133821805984
1.5646464646464646,0.0,-1.9372292,0.0015118456799554695,0.9823698500000103,0.0004995860561503836,0.23711482182411356,0.014361336027000942,0.036452701098127885,0.0036891128618669073
1.593939393939394,0.0,-1.9302877999999999,0.0015326790792595634,0.9802638500000106,0.0005150246863014141,0.25375311655134547,0.015010476549488613,0.040784080842205396,0.003480098088108969
1.6232323232323231,0.0,-1.9220281,0.0019347695961018142,0.977691400000012,0.000637323340228389,0.27955250454242475,0.016514858832126184,0.0480737556067206,0.004533729430909952
1.6525252525252525,0.0,-1.9133502999999994,0.0019632062830991464,0.9749956000000117,0.0006955470077571472,0.30396017799557346,0.016644000682319565,0.054888890721271386,0.005136821319804304
1.6818181818181819,0.0,-1.9038190999999995,0.0019712285991229017,0.9719218500000117,0.0007033027992977459,0.3278047832788896,0.019193355264590057,0.06336775535675682,0.005857621068678463
1.711111111111111,0.0,-1.8943553999999998,0.00191930217527102,0.9688141000000118,0.0007146084172468715,0.3516160640411538,0.018861118206626303,0.07259095542857144,0.006591317586725718
1.7404040404040404,0.0,-1.883862,0.002371181983737221,0.9652631500000115,0.0008668049535508598,0.37842490113515914,0.02018337748187647,0.08486676488392333,0.010524258373789359
1.7696969696969698,0.0,-1.8719599000000005,0.0023072583275394196,0.9612682000000105,0.0008987459374040649,0.41148300668969306,0.025166558199881707,0.09808943156506839,0.010285848981638224
1.798989898989899,0.0,-1.8598991999999996,0.002739597298874427,0.9570565500000094,0.0011727036486261812,0.4375050183182706,0.02626566268393978,0.1135079454390791,0.01478332505343288
1.8282828282828283,0.0,-1.8460936999999995,0.002755569870280925,0.9520861500000083,0.0013043858430314915,0.4706125003956537,0.027398240918639426,0.1328217486613259,0.020191197712177048
1.8575757575757574,0.0,-1.8319465000000008,0.0029415218425162194,0.9468391000000065,0.0013989580729961146,0.5104569975961828,0.02794493791870995,0.15649733251223474,0.021405585630375083
1.8868686868686868,0.0,-1.8173416000000002,0.0035865004447232316,0.9413606500000045,0.0018004971056631782,0.5421032966486617,0.034911248277141774,0.18167084921466792,0.03790655032326743
1.9161616161616162,0.0,-1.8000302,0.004169389878627351,0.934547850000002,0.002043841512324587,0.5857894044735176,0.04003063843527236,0.21709484491881906,0.0364806687059123
1.9454545454545453,0.0,-1.7825578000000006,0.004148961455593432,0.9273930500000007,0.002479565173069941,0.6302496507450434,0.04358491154458824,0.2660055607616819,0.07683830848452528
1.9747474747474747,0.0,-1.7633843000000002,0.00492115865523556,0.9193603499999989,0.0030512602523384987,0.6761340728593979,0.05142818562932979,0.3157033349693094,0.08946843083274846
